23012,0.00,0.00,0.92
23112,0.00,0.00,0.92
23212,0.00,0.00,0.92
23312,0.00,0.00,0.92
23412,0.00,0.00,0.92
23512,0.00,0.00,0.92
23613,0.00,0.00,0.92
23713,0.00,0.00,0.92
23814,0.00,0.00,0.92
23915,0.00,0.00,0.92
24016,0.00,0.00,0.92
24116,0.00,0.00,0.92
24217,0.00,0.00,0.92
24317,0.00,0.00,0.92
24417,0.00,0.00,0.92
24517,0.00,0.00,0.92
24617,0.00,0.00,0.92
24718,0.00,0.00,0.92
24818,0.00,0.00,0.92
24918,0.00,0.00,0.92
25019,0.00,0.00,0.92
25119,0.00,0.00,0.92
25219,0.00,0.00,0.92
25319,0.00,0.00,0.92
25420,0.00,0.00,0.92
25521,0.00,0.00,0.92
25621,0.00,0.00,0.92
25721,0.00,0.00,0.92
25822,0.00,0.00,0.92
25922,0.00,0.00,0.92
26022,0.00,0.00,0.92
26122,0.00,0.00,0.92
26223,0.00,0.00,0.92
26323,0.00,0.00,0.92
26423,0.00,0.00,0.92
26523,0.00,0.00,0.92
26623,0.00,0.00,0.92
26723,0.00,0.00,0.92
26823,0.00,0.00,0.92
26924,0.00,0.00,0.92
27024,0.00,0.00,0.92
27124,0.00,0.00,0.92
27224,0.00,0.00,0.92
27324,0.00,0.00,0.92
27424,0.00,0.00,0.92
27524,0.00,0.00,0.92
27624,0.00,0.00,0.92
27724,0.00,0.00,0.92
27825,0.00,0.00,0.92
27926,0.00,0.00,0.92
28027,0.00,0.00,0.92
28127,0.00,0.00,0.92
28227,0.00,0.00,0.92
28327,0.00,0.00,0.92
28427,0.00,0.00,0.92
28527,0.00,0.00,0.92
28627,0.00,0.00,0.92
28727,0.00,0.00,0.92
28828,0.00,0.00,0.92
28928,0.00,0.00,0.92
29028,0.00,0.00,0.92
29128,0.00,0.00,0.92
29228,0.00,0.00,0.92
29328,0.00,0.00,0.92
29428,0.00,0.00,0.92
29528,0.00,0.00,0.92
29628,0.00,0.00,0.92
29728,0.00,0.00,0.92
29828,0.00,0.00,0.92
29928,0.00,0.00,0.92
30028,0.00,0.00,0.92
30128,0.00,0.00,0.92
30229,0.00,0.00,0.92
30329,0.00,0.00,0.92
30429,0.00,0.00,0.92
30529,0.00,0.00,0.92
30629,0.00,0.00,0.92
30729,0.00,0.00,0.92
30829,0.00,0.00,0.92
30929,0.00,0.00,0.92
31029,0.00,0.00,0.92
31130,0.00,0.00,0.92
31231,0.00,0.00,0.92
31331,0.00,0.00,0.92
31431,0.00,0.00,0.92
31531,0.00,0.00,0.92
31631,0.00,0.00,0.92
31731,0.00,0.00,0.92
31832,0.00,0.00,0.92
31932,0.00,0.00,0.92
32033,0.00,0.00,0.92
32133,0.00,0.00,0.92
32233,0.00,0.00,0.92
32333,0.00,0.00,0.92
32433,0.00,0.00,0.92
32533,0.00,0.00,0.92
32633,0.00,0.00,0.92
32734,0.00,0.00,0.92
32835,0.00,0.00,0.92
32935,0.00,0.00,0.92
33036,0.00,0.00,0.92
33136,0.00,0.00,0.92
33236,0.00,0.00,0.92
33336,0.00,0.00,0.92
33437,0.00,0.00,0.92
33537,0.00,0.00,0.92
33638,0.00,0.00,0.92
33738,0.00,0.00,0.92
33838,0.00,0.00,0.92
33938,0.00,0.00,0.92
34038,0.00,0.00,0.92
34138,0.00,0.00,0.92
34239,0.00,0.00,0.92
34339,0.00,0.00,0.92
34439,0.00,0.00,0.92
34539,0.00,0.00,0.92
34639,0.00,0.00,0.92
34740,0.00,0.00,0.92
34841,0.00,0.00,0.92
34942,0.00,0.00,0.92
35042,0.00,0.00,0.92
35142,0.00,0.00,0.92
35242,0.00,0.00,0.92
35342,0.00,0.00,0.92
35442,0.00,0.00,0.92
35543,0.00,0.00,0.92
35644,0.00,0.00,0.92
35745,0.00,0.00,0.92
35845,0.00,0.00,0.92
35945,0.00,0.00,0.92
36045,0.00,0.00,0.92
36146,0.00,0.00,0.92
36246,0.00,0.00,0.92
36346,0.00,0.00,0.92
36446,0.00,0.00,0.92
36547,0.00,0.00,0.92
36647,0.00,0.00,0.92
36747,0.00,0.00,0.92
36848,0.00,0.00,0.92
36948,0.00,0.00,0.92
37049,0.00,0.00,0.92
37149,0.00,0.00,0.92
37250,0.00,0.00,0.92
37350,0.00,0.00,0.92
37450,0.00,0.00,0.92
37551,0.00,0.00,0.92
37652,0.00,0.00,0.92
37752,0.00,0.00,0.92
37853,0.00,0.00,0.92
37953,0.00,0.00,0.92
38053,0.00,0.00,0.92
38153,0.00,0.00,0.92
