1717,33.69,176.88,959.29
1818,32.04,175.60,956.73
1919,31.68,176.33,956.91
2020,30.58,175.96,958.56
2121,33.51,178.71,955.63
2222,33.14,179.08,958.37
2323,32.78,177.43,959.11
2424,32.59,176.88,956.73
2525,32.96,175.23,959.29
2626,32.41,177.43,959.84
2727,33.69,176.70,957.46
2828,32.04,177.80,959.29
2929,32.59,176.15,959.29
3030,32.41,175.78,958.56
3131,32.78,178.71,958.56
3232,33.69,176.15,957.82
3333,33.14,177.25,957.09
3434,32.59,175.78,959.84
3535,34.06,175.42,957.46
3636,31.86,176.70,959.84
3737,32.04,175.78,957.46
3838,32.59,176.70,957.28
3939,33.87,175.96,958.01
4040,32.78,176.51,955.63
4141,32.41,177.25,958.56
4242,32.78,174.13,957.28
4343,34.97,175.42,959.11
4444,33.33,176.51,957.09
4545,31.68,175.78,960.02
4646,31.68,175.60,956.54
4747,33.51,175.78,958.01
4848,32.04,175.23,957.46
4949,32.23,175.78,957.46
5050,32.04,175.23,958.92
5151,32.41,177.06,956.54
5252,33.33,173.95,958.74
5353,34.42,173.77,957.28
5454,32.23,177.06,958.92
5555,32.04,175.23,957.64
5656,31.68,176.88,957.82
5757,32.41,175.96,957.28
5858,34.24,177.25,959.47
5959,31.86,177.61,957.64
6060,31.86,175.23,957.46
6161,33.87,175.42,957.46
6262,33.69,173.40,956.91
6363,32.96,175.78,958.19
6464,30.76,175.60,956.73
6565,31.86,176.88,959.84
6666,30.94,174.68,959.29
6767,32.59,176.70,958.37
6868,32.78,176.88,957.64
6969,32.23,177.43,959.11
7070,34.24,174.50,960.02
7171,33.33,174.13,956.36
7272,35.34,176.70,958.92
7373,32.59,175.78,958.37
7474,32.23,174.68,958.74
7575,32.96,177.98,958.19
7676,30.58,178.34,960.02
7777,30.21,175.05,958.19
7878,30.58,174.32,958.92
7979,34.42,176.51,961.30
8080,32.04,177.25,956.18
8181,32.96,175.05,959.66
8282,32.04,175.42,958.74
8383,32.78,174.68,957.46
8484,30.94,177.80,959.66
8585,32.78,176.51,958.56
8686,34.06,176.51,956.91
8787,32.78,175.78,959.66
8888,32.59,173.03,958.92
