92.01,105.17
92.05,105.20
91.95,104.33
91.96,104.84
91.99,104.98
91.95,104.70
92.01,104.78
91.98,104.88
91.89,104.10
91.98,104.90
91.83,103.86
92.04,105.29
91.99,104.96
91.89,104.14
91.97,104.49
92.11,105.69
91.99,104.75
91.92,104.38
92.01,105.21
91.95,104.73
91.92,104.25
91.93,104.45
91.91,104.20
91.96,104.64
91.91,104.31
91.97,104.80
91.97,104.62
92.00,104.90
91.96,104.60
91.94,104.48
92.00,104.86
91.96,104.57
91.86,103.89
91.91,104.07
91.90,104.26
92.00,105.07
92.04,105.10
92.02,105.01
91.97,104.70
91.97,104.88
91.97,104.81
91.83,103.71
91.84,103.69
92.05,105.35
91.99,104.88
91.95,104.59
91.85,103.91
91.91,104.54
91.95,103.99
91.99,104.63
91.84,103.96
92.00,104.90
92.12,105.79
92.08,105.67
91.95,104.55
91.94,104.50
91.94,104.47
96.21,155.66
91.79,106.79
92.07,103.65
92.61,111.74
90.52,94.35
91.93,103.46
91.36,102.42
92.76,115.19
89.92,90.90
91.01,97.70
91.74,104.19
93.34,116.95
96.73,130.56
96.25,136.65
96.56,141.06
96.72,138.19
102.64,168.69
112.64,177.05
122.03,178.72
129.36,-108.04
136.49,-163.81
146.75,-172.72
154.83,-174.20
159.78,-174.13
166.75,-175.10
168.30,-173.90
171.28,-175.36
173.98,-174.82
173.99,-174.66
170.95,-175.08
173.76,-176.66
172.66,-175.49
170.77,-175.26
174.43,-174.81
176.80,-174.91
177.23,-175.53
177.91,-175.58
177.83,-173.71
178.67,-175.24
178.58,-175.75
178.62,-175.77
178.31,-175.94
179.38,-177.13
178.94,-177.34
178.93,-177.45
179.18,-177.59
179.57,-177.48
179.25,-177.35
179.83,-177.55
179.88,-177.71
179.73,-177.73
179.50,-177.16
179.51,-176.97
179.63,-177.76
179.10,-178.97
178.89,-178.10
179.13,-177.97
179.02,-178.18
179.00,-178.29
178.97,-178.22
179.13,-178.33
179.41,-178.26
179.55,-178.36
179.70,-178.37
179.56,-178.37
179.60,-178.39
179.71,-178.35
179.63,-178.33
179.48,-178.29
179.48,-178.18
179.63,-178.38
179.56,-178.31
179.64,-178.23
179.84,-178.34
179.66,-178.19
179.74,-178.35
179.80,-178.27
179.83,-178.25
179.68,-178.28
179.69,-178.39
179.85,-178.21
179.83,-178.42
179.83,-178.28
179.96,-178.39
179.81,-178.42
179.78,-178.48
179.84,-178.41
179.92,-178.40
179.81,-178.55
179.79,-178.50
179.79,-178.43
179.75,-178.48
-107.93,-178.54
121.98,-178.64
167.50,-178.76
176.46,-178.96
178.80,-178.99
178.71,-178.85
179.01,-178.81
179.22,-178.78
179.28,-178.76
179.10,-178.72
179.27,-178.72
179.39,-178.79
179.22,-178.88
179.49,-178.86
179.64,-178.74
179.67,-178.61
179.75,-178.72
179.77,-178.49
179.72,-178.41
179.51,-178.32
179.60,-178.51
179.78,-178.30
179.80,-178.38
179.41,-178.41
179.40,-178.54
179.36,-178.36
179.53,-178.42
179.70,-178.45
179.53,-178.36
179.44,-178.24
179.35,-178.09
179.34,-178.01
179.33,-178.08
179.64,-177.99
179.59,-177.89
179.65,-177.75
179.63,-177.82
179.54,-177.96
179.53,-177.97
179.42,-177.88
179.33,-177.90
179.58,-177.87
179.75,-177.88
179.68,-177.92
-108.00,-177.81
122.01,-177.79
168.10,-177.88
177.21,-177.93
179.17,-177.95
179.56,-177.97
179.52,-177.90
179.70,-177.94
179.59,-177.73
179.63,-177.85
179.48,-177.87
178.56,-177.61
179.47,-177.78
179.50,-178.00
179.45,-177.94
179.57,-177.98
179.67,-177.93
179.36,-177.86
179.63,-178.29
178.73,-177.96
178.79,-177.95
178.94,-178.10
176.35,-176.83
174.73,-177.61
168.77,-176.05
164.64,-174.56
157.27,-173.11
147.69,-170.57
134.51,-166.16
120.80,-155.00
113.63,-149.89
104.25,-137.84
99.83,-127.44
135.65,-149.99
120.27,-155.90
116.37,-166.57
116.43,-172.67
113.02,-174.91
111.58,103.29
122.68,152.72
112.15,-101.80
107.59,-152.85
99.95,-146.40
97.90,-161.38
96.47,110.21
91.96,-85.96
81.78,-6.83
73.10,-0.09
70.23,3.27
67.66,-0.70
69.31,2.94
74.79,-11.73
86.76,-71.89
73.71,-9.61
77.86,-24.27
84.80,-55.66
87.46,-72.92
79.53,-37.96
72.95,-29.71
64.88,-15.19
60.09,-16.86
56.71,-18.05
59.76,-15.63
66.29,-25.64
72.95,-24.61
78.10,-34.37
81.36,-47.70
73.07,-24.20
70.68,-20.96
62.56,-15.43
56.50,-16.17
50.86,-21.47
60.40,-14.88
63.74,-23.18
62.63,-22.06
64.16,-21.80
63.72,-21.98
60.13,-23.92
57.37,-13.12
61.85,-15.42
61.26,-2.98
52.66,-4.96
39.79,-7.33
36.34,-9.91
42.33,-27.22
44.05,-26.03
61.41,-14.88
81.55,-54.08
87.00,50.68
105.37,-129.94
109.18,-168.39
